Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1513230223,2017-12-14T05:43:43Z,KLM98C,"43.659523,1.332577",2905,158,321
1513230229,2017-12-14T05:43:49Z,KLM98C,"43.661671,1.330206",3012,170,321
1513230238,2017-12-14T05:43:58Z,KLM98C,"43.666977,1.324335",3203,180,321
1513230245,2017-12-14T05:44:05Z,KLM98C,"43.671818,1.31907",3425,184,321
1513230257,2017-12-14T05:44:17Z,KLM98C,"43.679779,1.310752",3906,184,323
1513230265,2017-12-14T05:44:25Z,KLM98C,"43.685188,1.305671",4125,184,325
1513230271,2017-12-14T05:44:31Z,KLM98C,"43.691387,1.300438",4350,184,328
1513230281,2017-12-14T05:44:41Z,KLM98C,"43.698811,1.294617",4664,184,330
1513230287,2017-12-14T05:44:47Z,KLM98C,"43.706383,1.289208",5141,248,332
1513230301,2017-12-14T05:45:01Z,KLM98C,"43.718765,1.281008",5897,250,334
1513230313,2017-12-14T05:45:13Z,KLM98C,"43.730953,1.273459",6670,250,335
1513230325,2017-12-14T05:45:25Z,KLM98C,"43.744301,1.265314",7477,250,336
1513230341,2017-12-14T05:45:41Z,KLM98C,"43.762226,1.254383",8590,250,336
1513230355,2017-12-14T05:45:55Z,KLM98C,"43.780251,1.243412",9524,252,336
1513230368,2017-12-14T05:46:08Z,KLM98C,"43.793884,1.236135",10247,252,339
1513230380,2017-12-14T05:46:20Z,KLM98C,"43.808876,1.230056",10875,252,342
1513230389,2017-12-14T05:46:29Z,KLM98C,"43.818722,1.227472",11150,252,346
1513230395,2017-12-14T05:46:35Z,KLM98C,"43.829308,1.226049",11383,273,349
1513230401,2017-12-14T05:46:41Z,KLM98C,"43.834198,1.225824",11523,279,355
1513230407,2017-12-14T05:46:47Z,KLM98C,"43.845619,1.22538",11971,283,358
1513230428,2017-12-14T05:47:08Z,KLM98C,"43.873951,1.227028",13340,293,24
1513230434,2017-12-14T05:47:14Z,KLM98C,"43.879189,1.227641",13584,299,8
1513230488,2017-12-14T05:48:08Z,KLM98C,"43.959141,1.228469",16080,307,351
1513230526,2017-12-14T05:48:46Z,KLM98C,"44.017441,1.219621",17685,334,353
1513230557,2017-12-14T05:49:17Z,KLM98C,"44.062023,1.211512",19159,336,353
1513230621,2017-12-14T05:50:21Z,KLM98C,"44.162777,1.193383",22168,340,353
1513230688,2017-12-14T05:51:28Z,KLM98C,"44.263107,1.176774",24814,346,353
1513230750,2017-12-14T05:52:30Z,KLM98C,"44.364632,1.160177",27132,352,353
1513230812,2017-12-14T05:53:32Z,KLM98C,"44.469013,1.142582",29010,358,353
1513230873,2017-12-14T05:54:33Z,KLM98C,"44.5714,1.125577",30603,368,353
1513230938,2017-12-14T05:55:38Z,KLM98C,"44.679287,1.108003",32033,374,353
1513231000,2017-12-14T05:56:40Z,KLM98C,"44.789112,1.089059",33580,372,353
1513231061,2017-12-14T05:57:41Z,KLM98C,"44.891136,1.072109",34706,376,353
1513231123,2017-12-14T05:58:43Z,KLM98C,"45.001247,1.052736",35825,376,353
1513231186,2017-12-14T05:59:46Z,KLM98C,"45.112667,1.033917",36663,382,353
1513231249,2017-12-14T06:00:49Z,KLM98C,"45.217335,1.015791",37237,392,353
1513231311,2017-12-14T06:01:51Z,KLM98C,"45.334263,0.996045",38000,398,353
1513231375,2017-12-14T06:02:55Z,KLM98C,"45.453114,0.975218",37999,416,353
1513231437,2017-12-14T06:03:57Z,KLM98C,"45.566483,0.955796",38000,414,353
1513231498,2017-12-14T06:04:58Z,KLM98C,"45.680836,0.936106",38000,416,353
1513231560,2017-12-14T06:06:00Z,KLM98C,"45.802444,0.915027",38000,416,353
