ACFT_ID,Flap_ID,R,Start CAS (kt),Comment
1900D,ZERO-A,0.106643,160,
1900D,35-A,0.130495,118,
707320,ZERO,0.05617,250,
707320,14,0.089316,160,
707320,D-25,0.107756,145,
707320,D-40,0.134567,131.6,
707QN,ZERO,0.05617,250,
707QN,14,0.089316,160,
707QN,D-25,0.107756,145,
707QN,D-40,0.134567,131.6,
717200,A_0U,0.06456,250,
717200,A_18U,0.095015,190,
717200,A_18D,0.11009,160,
717200,A_40D,0.140491,140,
720B,ZERO,0.05617,250,
720B,20,0.091933,160,
720B,U-30,0.09805,149,
720B,D-30,0.109478,139,
727100,ZERO,0.0636,250,
727100,5,0.088916,160,
727100,D-25,0.128359,125.5,
727100,D-30,0.145903,123.2,
727D15,ZERO,0.0594,250,
727D15,5,0.0869,160,
727D15,D-25,0.109535,149.6,
727D15,D-30,0.1437,147.6,
727D17,ZERO,0.0594,250,
727D17,5,0.0869,160,
727D17,D-25,0.124821,149.6,
727D17,D-30,0.1437,147.6,
727EM1,ZERO,0.0636,250,
727EM1,5,0.088916,160,
727EM1,D-25,0.128359,125.5,
727EM1,D-30,0.145903,123.2,
727EM2,ZERO,0.0594,250,
727EM2,5,0.0869,160,
727EM2,D-25,0.109535,149.6,
727EM2,D-30,0.1437,147.6,
727Q15,ZERO,0.0594,250,
727Q15,5,0.0869,160,
727Q15,D-25,0.109535,149.6,
727Q15,D-30,0.1437,147.6,
727Q7,ZERO,0.0636,250,
727Q7,5,0.088916,160,
727Q7,D-25,0.128359,125.5,
727Q7,D-30,0.145903,123.2,
727Q9,ZERO,0.0594,250,
727Q9,5,0.0869,160,
727Q9,D-25,0.124565,145.4,
727Q9,D-30,0.142606,143.4,
727QF,U-ZERO,0.06027,250,
727QF,U-05,0.08709,160,
727QF,D-15,0.1182,150,
727QF,D-30,0.1602,131,
737,ZERO,0.0643,250,
737,5,0.085235,170,
737,D-25,0.113106,134.5,
737,D-30,0.124898,131.5,
737300,ZERO,0.062,250,
737300,5,0.0742,170,
